@RELATION word_relatedness

@ATTRIBUTE measure_1 NUMERIC
@ATTRIBUTE measure_2 NUMERIC
@ATTRIBUTE measure_3 NUMERIC
@ATTRIBUTE measure_4 NUMERIC
@ATTRIBUTE measure_5 NUMERIC
@ATTRIBUTE measure_6 NUMERIC
@ATTRIBUTE measure_7 NUMERIC
@ATTRIBUTE measure_8 NUMERIC
@ATTRIBUTE measure_9 NUMERIC
@ATTRIBUTE measure_10 NUMERIC
@ATTRIBUTE measure_11 NUMERIC
@ATTRIBUTE measure_12 NUMERIC
@ATTRIBUTE measure_13 NUMERIC
@ATTRIBUTE measure_14 NUMERIC
@ATTRIBUTE measure_15 NUMERIC
@ATTRIBUTE measure_16 NUMERIC
@ATTRIBUTE measure_17 NUMERIC
@ATTRIBUTE measure_18 NUMERIC
@ATTRIBUTE measure_19 NUMERIC
@ATTRIBUTE measure_20 NUMERIC
@ATTRIBUTE measure_21 NUMERIC
@ATTRIBUTE measure_22 NUMERIC
@ATTRIBUTE measure_23 NUMERIC
@ATTRIBUTE measure_24 NUMERIC
@ATTRIBUTE class {TRUE,FALSE}

@DATA
352853.0,4.0E-4,36741.5185,32.6845,13216.3834,0.0,572.4228,1.027,0.9431,0.9431,0.3493,0.1807,0.2285,0.2285,6.7203,0.0515,0.372,0.372,1.7409,0.098,150652.998,3.2843,0.0,0.0,FALSE
1326775.0,0.0015,40388.5948,26.8901,121946.2467,1.0E-4,580.4937,0.7927,0.7154,0.7154,0.3581,0.0614,0.0997,0.0997,6.4208,0.0241,0.1813,0.1813,1.7305,0.0471,557467.7729,3.4714,0.0,0.0,FALSE
6797959.0,0.0076,51352.9199,26.8598,897950.2831,0.001,612.9231,0.6488,0.6054,0.6054,0.265,0.0072,0.0788,0.0788,10.2086,-0.0194,0.1461,0.1461,1.8216,-0.0396,2886013.1474,4.5661,0.0,0.0,FALSE
7944670.0,0.0089,49921.891,31.1457,1292433.8078,0.0014,602.7343,0.6998,0.7419,0.7419,0.2443,0.0052,0.0639,0.0639,12.1213,-0.0199,0.1202,0.1202,1.8476,-0.0405,3465379.3498,4.642,0.0,0.0,FALSE
1407664.0,0.0016,50488.9273,32.4597,81062.3725,1.0E-4,635.1955,0.7766,0.8558,0.8558,0.3522,0.0318,0.1779,0.1779,6.5226,0.01,0.3021,0.3021,1.7341,0.0197,586341.9864,4.6031,0.0,0.0,FALSE
976987.0,0.0011,38814.7766,25.835,98756.3876,1.0E-4,588.1172,0.9225,0.4621,0.4621,0.1785,1.0E-4,0.0234,0.0234,28.0011,-0.0081,0.0458,0.0458,1.931,-0.0163,467514.9136,3.2623,0.0,0.0,FALSE
2835729.0,0.0032,40223.8398,26.1397,255950.3743,3.0E-4,560.9488,0.795,0.7638,0.7638,0.3266,0.027,0.045,0.045,7.7523,0.0062,0.0861,0.0861,1.7715,0.0123,1259408.7566,3.4838,0.0,0.0,FALSE
1577148.0,0.0018,43802.7925,31.9077,197537.0791,2.0E-4,603.7215,0.8974,0.3993,0.3993,0.269,0.0038,0.0472,0.0472,10.4146,-0.0041,0.0901,0.0901,1.8248,-0.0082,723121.729,3.9341,0.0,0.0,FALSE
152110.0,2.0E-4,21798.4739,15.318,7362.5589,0.0,467.4494,0.7673,0.6782,0.6782,0.2542,3.0E-4,0.1092,0.1092,10.0283,2.0E-4,0.1968,0.1968,1.8186,3.0E-4,70538.0447,1.6607,0.0,0.0,FALSE
7273389.0,0.0081,43170.0299,30.8034,762827.7645,9.0E-4,547.6723,0.7302,0.4892,0.4892,0.2712,0.0252,0.1356,0.1356,9.9347,-0.0107,0.2388,0.2388,1.8171,-0.0217,2983304.591,4.3137,0.0,0.0,FALSE
1945022.0,0.0022,57887.4416,26.2744,126762.5923,1.0E-4,686.6615,0.6615,0.8128,0.8128,0.242,0.002,0.1792,0.1792,10.5862,-0.0121,0.304,0.304,1.8274,-0.0244,845450.2872,4.982,0.0,0.0,FALSE
4081780.0,0.0046,47797.3824,30.566,360301.1493,4.0E-4,587.913,0.6974,0.9289,0.9289,0.2819,0.0218,0.1588,0.1588,8.8881,-0.0044,0.2741,0.2741,1.7977,-0.0088,1588357.7222,4.5185,0.0,0.0,FALSE
7184599.0,0.008,40773.9023,34.41,514248.7463,6.0E-4,516.7667,0.7783,0.6049,0.6049,0.2641,0.0143,0.1465,0.1465,11.0362,-0.016,0.2556,0.2556,1.8338,-0.0325,3167633.2659,4.3444,0.0,0.0,FALSE
764470.0,9.0E-4,44952.4257,30.2074,43263.5269,0.0,616.6776,0.8293,0.9193,0.9193,0.2978,0.0037,0.1236,0.1236,8.9622,-1.0E-4,0.2199,0.2199,1.7992,-1.0E-4,334973.5941,4.0175,0.0,0.0,FALSE
2996595.0,0.0034,53521.1032,29.3127,186268.3484,2.0E-4,645.4636,0.6899,0.8519,0.8519,0.2716,0.0021,0.1213,0.1213,9.7681,-0.0135,0.2163,0.2163,1.8143,-0.0275,1269926.3471,4.7773,0.0,0.0,FALSE
1686946.0,0.0019,54079.4441,38.0188,198095.934,2.0E-4,664.9728,0.8699,0.349,0.349,0.296,0.0035,0.0702,0.0702,9.0406,-0.0027,0.1312,0.1312,1.8008,-0.0054,761789.0658,5.0018,0.0,0.0,FALSE
497939.0,6.0E-4,37639.9099,21.091,30907.1887,0.0,594.2102,0.7492,0.6108,0.6108,0.1294,1.0E-4,0.0058,0.0058,127.7063,-0.0066,0.0116,0.0116,1.9845,-0.0133,244057.0569,3.1282,0.0,0.0,FALSE
993569.0,0.0011,39140.6363,26.9172,87624.0891,1.0E-4,572.8473,0.8307,0.8573,0.8573,0.2789,0.0038,0.0412,0.0412,10.3184,0.001,0.0792,0.0792,1.8233,0.002,447014.8347,3.4652,0.0,0.0,FALSE
1305780.0,0.0015,48016.5628,32.8572,60151.187,1.0E-4,613.4581,0.7947,0.8511,0.8511,0.332,0.0267,0.227,0.227,6.9546,0.0132,0.37,0.37,1.7486,0.0261,533268.6049,4.6389,0.0,0.0,FALSE
645342.0,7.0E-4,37981.5953,25.3015,83044.6457,1.0E-4,580.7271,0.8963,0.5146,0.5146,0.2357,3.0E-4,0.0297,0.0297,17.494,-0.0033,0.0577,0.0577,1.8919,-0.0065,299788.1115,3.2738,0.0,0.0,FALSE
5338270.0,0.006,51998.6641,34.7836,759784.5318,8.0E-4,636.6238,0.8357,0.9164,0.9164,0.2919,0.0218,0.0325,0.0325,9.715,-0.0011,0.063,0.063,1.8133,-0.0022,2380516.1774,4.6248,0.0,0.0,FALSE
231697.0,3.0E-4,18517.1594,16.3523,46796.9305,1.0E-4,429.8611,0.8951,0.937,0.937,0.3054,0.1972,0.0594,0.0594,9.9554,0.0743,0.1121,0.1121,1.8174,0.1383,99638.625,1.4639,0.0,0.0,FALSE
2443541.0,0.0027,44370.9855,30.7639,391285.8254,4.0E-4,608.8756,1.0012,0.5661,0.5661,0.2263,9.0E-4,0.0336,0.0336,14.7418,-0.0116,0.065,0.065,1.8729,-0.0235,1135335.522,3.8066,0.0,0.0,FALSE
3004811.0,0.0034,55551.1212,30.9915,236361.0931,3.0E-4,666.3543,0.7874,0.6432,0.6432,0.2675,0.002,0.0867,0.0867,10.1885,-0.0114,0.1596,0.1596,1.8212,-0.023,1316610.1672,4.8764,0.0,0.0,FALSE
1132059.0,0.0013,53589.3151,37.7163,80531.4561,1.0E-4,661.5408,0.8588,0.6426,0.6426,0.2994,0.0018,0.1406,0.1406,8.8163,-0.0035,0.2465,0.2465,1.7963,-0.0069,509122.0998,5.0948,0.0,0.0,FALSE
2974966.0,0.0033,50181.8388,29.5322,383804.7074,4.0E-4,617.1188,0.7182,0.6695,0.6695,0.3141,0.0104,0.101,0.101,7.9849,-1.0E-4,0.1834,0.1834,1.7774,-1.0E-4,1233128.5321,4.6159,0.0,0.0,FALSE
1.1979838E7,0.0134,46559.52,26.1965,2712777.342,0.003,556.0213,0.6108,0.4465,0.4465,0.2604,0.0043,0.0912,0.0912,10.0012,-0.0283,0.1671,0.1671,1.8182,-0.0583,5166795.2508,4.2376,0.0,0.0,FALSE
9924399.0,0.0111,27381.4202,23.6141,1634953.3186,0.0018,436.5726,0.8942,0.824,0.824,0.1448,9.0E-4,9.0E-4,9.0E-4,56.8694,-0.0318,0.0019,0.0019,1.9654,-0.0657,4931756.0319,2.5294,0.0,0.0,FALSE
3000557.0,0.0034,32345.8903,20.1456,305752.4206,3.0E-4,508.4569,0.9415,0.4745,0.4745,0.1126,0.0,0.0029,0.0029,86.552,-0.0203,0.0058,0.0058,1.9772,-0.0415,1479282.9245,2.7698,0.0,0.0,FALSE
625551.0,7.0E-4,38327.2382,30.2954,116918.8837,1.0E-4,594.0372,1.2332,0.2249,0.2249,0.1881,1.0E-4,0.0305,0.0305,27.6777,-0.0043,0.0592,0.0592,1.9303,-0.0085,300171.5589,3.2631,0.0,0.0,FALSE
1038555.0,0.0012,57752.428,27.936,76525.7317,1.0E-4,706.0925,0.6932,0.6601,0.6601,0.2426,0.0013,0.1156,0.1156,11.2377,-0.006,0.2072,0.2072,1.8366,-0.0121,455759.3593,4.9482,0.0,0.0,FALSE
4533539.0,0.0051,40621.6903,33.3437,634923.183,7.0E-4,559.5056,1.4232,0.3874,0.3874,0.2631,6.0E-4,0.0147,0.0147,11.8241,-0.0112,0.0291,0.0291,1.844,-0.0227,2151846.561,3.5871,0.0,0.0,FALSE
2.1584837E7,0.0241,45686.0075,46.6383,2369825.5823,0.0026,554.8364,1.0218,0.6567,0.6567,0.1877,8.0E-4,0.0061,0.0061,34.9091,-0.0227,0.0122,0.0122,1.9443,-0.0465,1.04756237011E7,4.7286,0.0,0.0,FALSE
3465966.0,0.0039,51828.9519,27.1957,259178.9483,3.0E-4,617.8931,0.5829,0.7514,0.7514,0.232,0.0026,0.1702,0.1702,12.1483,-0.0163,0.2908,0.2908,1.8479,-0.0331,1471964.0359,4.7552,0.0,0.0,TRUE
38424.0,0.0,7400.7048,11.2376,3770.5297,0.0,284.3921,0.8907,0.5443,0.5443,0.2177,0.0,0.0802,0.0802,13.0994,-1.0E-4,0.1486,0.1486,1.8581,-2.0E-4,17676.832,0.5597,0.0,0.0,FALSE
2446311.0,0.0027,55986.86,29.7429,514335.3645,6.0E-4,672.5961,0.6994,0.3776,0.3776,0.2785,0.0087,0.0629,0.0629,9.5015,-0.0037,0.1184,0.1184,1.8096,-0.0074,1101420.0139,4.9201,0.0,0.0,FALSE
2.1228979E7,0.0237,34571.7213,22.0621,2393659.8367,0.0027,492.0235,0.8021,0.6341,0.6341,0.192,0.0025,0.0018,0.0018,20.6187,-0.0431,0.0036,0.0036,1.9075,-0.09,1.05039138826E7,2.9667,0.0,0.0,FALSE
2.1157501E7,0.0237,50819.0301,27.068,2356445.5153,0.0026,607.662,0.7092,0.7974,0.7974,0.268,0.0064,0.0129,0.0129,12.4493,-0.0294,0.0254,0.0254,1.8513,-0.0605,9991547.434,4.4337,0.0,0.0,FALSE
2.043322E7,0.0228,45728.7917,20.391,2030256.2286,0.0023,546.7156,0.504,0.8492,0.8492,0.2744,0.0157,0.0861,0.0861,9.7058,-0.0478,0.1586,0.1586,1.8132,-0.1004,8344646.2083,4.0334,0.0,0.0,FALSE
1508942.0,0.0017,46278.225,29.0255,116529.8366,1.0E-4,599.0322,0.6923,0.8024,0.8024,0.3449,0.069,0.2647,0.2647,6.3616,0.0287,0.4185,0.4185,1.7283,0.0558,571054.1643,4.4427,0.0,0.0,TRUE
1301317.0,0.0015,53744.2237,37.2467,81553.8788,1.0E-4,665.6849,1.0587,0.7826,0.7826,0.3034,0.0083,0.1297,0.1297,8.4164,0.0,0.2296,0.2296,1.7876,1.0E-4,562343.2215,4.9916,0.0,0.0,FALSE
234062.0,3.0E-4,22461.4621,20.3968,32703.5441,0.0,466.2231,0.9325,0.8653,0.8653,0.3567,0.2331,0.2065,0.2065,6.2213,0.0897,0.3423,0.3423,1.723,0.1646,89382.4374,1.8189,0.0,0.0,FALSE
133532.0,1.0E-4,14587.3262,17.7782,12971.5783,0.0,384.6597,0.9341,0.8288,0.8288,0.3033,0.1174,0.1941,0.1941,8.0315,0.0534,0.3251,0.3251,1.7786,0.1013,55884.602,1.1622,0.0,0.0,FALSE
435210.0,5.0E-4,46822.5471,44.6255,12965.5032,0.0,633.0304,1.0476,0.9306,0.9306,0.4187,0.0532,0.2613,0.2613,5.2578,0.0244,0.4143,0.4143,1.6804,0.0476,179515.971,4.5295,0.0,0.0,FALSE
6952100.0,0.0078,34997.7015,24.7259,1064915.6938,0.0012,503.6376,0.7743,0.7999,0.7999,0.2599,0.0721,0.0242,0.0242,11.23,0.0235,0.0473,0.0473,1.8365,0.046,3211250.0534,3.0603,0.0,0.0,TRUE
295395.0,3.0E-4,28645.7701,26.9278,33708.8543,0.0,520.5499,1.1042,0.6994,0.6994,0.2592,0.0075,0.0787,0.0787,11.5082,0.0064,0.1458,0.1458,1.8401,0.0128,131048.8642,2.4425,0.0,0.0,FALSE
1340811.0,0.0015,42948.0884,27.1713,129267.9199,1.0E-4,605.5578,0.757,0.8974,0.8974,0.2687,0.0029,0.0354,0.0354,10.4069,-0.0039,0.0684,0.0684,1.8247,-0.0078,609952.2626,3.659,0.0,0.0,FALSE
3562276.0,0.004,38690.6129,35.8557,554516.0176,6.0E-4,555.1772,1.0426,0.7999,0.7999,0.2651,0.0018,0.0185,0.0185,11.8046,-0.0085,0.0363,0.0363,1.8438,-0.0171,1675275.9071,3.5482,0.0,0.0,FALSE
2.1065066E7,0.0236,27477.0783,23.0879,2714068.4602,0.003,427.2081,0.6193,0.7835,0.7835,0.2194,0.0093,0.002,0.002,18.7148,-0.0389,0.004,0.004,1.8986,-0.0809,1.04032936063E7,2.5051,0.0,0.0,FALSE
1510386.0,0.0017,40901.744,19.749,189023.8369,2.0E-4,597.4943,0.7724,0.6781,0.6781,0.2185,0.0011,0.0218,0.0218,15.0956,-0.0131,0.0428,0.0428,1.8757,-0.0266,713117.28,3.2561,0.0,0.0,FALSE
3430089.0,0.0038,48402.2139,27.8296,545052.4502,6.0E-4,602.1234,0.6935,0.8895,0.8895,0.2937,0.0379,0.2187,0.2187,7.7673,0.0025,0.3589,0.3589,1.7719,0.005,1294473.9094,4.4691,0.0,0.0,FALSE
3156188.0,0.0035,53379.7515,28.8227,798152.2658,9.0E-4,644.5073,0.7201,0.441,0.441,0.2915,0.0041,0.0831,0.0831,8.6139,-0.0094,0.1535,0.1535,1.792,-0.019,1380237.4533,4.7652,0.0,0.0,FALSE
7701712.0,0.0086,27730.186,21.1636,1389315.5534,0.0016,437.7326,0.8555,0.8153,0.8153,0.1611,9.0E-4,0.0014,0.0014,48.5352,-0.0288,0.0027,0.0027,1.9596,-0.0593,3820404.8607,2.5872,0.0,0.0,FALSE
5407443.0,0.006,47254.7117,32.0907,597778.4879,7.0E-4,580.9386,0.7306,0.917,0.917,0.2705,0.0184,0.1269,0.1269,9.5904,-0.0072,0.2253,0.2253,1.8112,-0.0145,2141110.6879,4.4975,0.0,0.0,FALSE
922065.0,0.001,40183.9451,34.9302,95908.8496,1.0E-4,588.2082,1.2084,0.5829,0.5829,0.1942,0.0029,0.0247,0.0247,21.4647,-0.0016,0.0482,0.0482,1.911,-0.0031,429484.311,3.5455,0.0,0.0,FALSE
7718141.0,0.0086,52507.5679,29.0016,888936.2754,0.001,623.1918,0.7118,0.8815,0.8815,0.2473,0.0034,0.0348,0.0348,12.0731,-0.0191,0.0673,0.0673,1.847,-0.039,3464528.1664,4.7029,0.0,0.0,FALSE
1016371.0,0.0011,37300.332,20.7434,114662.0923,1.0E-4,576.0872,0.8583,0.7828,0.7828,0.1556,2.0E-4,0.0086,0.0086,48.2696,-0.01,0.017,0.017,1.9594,-0.0203,491190.9276,3.0451,0.0,0.0,FALSE
